VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-11 14:10:28,2019-01-11 14:10:38,5,0.0,99,N,265,265,2,0.65,0.0,0.25,0.0,0.0,0.0,0.9,
2,2019-01-11 14:10:28,2019-01-11 14:11:59,5,0.0,99,N,265,265,2,0.8,0.0,0.25,0.0,0.0,0.0,1.05,
2,2019-01-11 14:10:28,2019-01-11 14:12:59,5,0.0,99,N,265,265,2,0.95,0.0,0.25,0.0,0.0,0.0,1.2,
2,2019-01-11 22:24:00,2019-01-11 22:35:58,1,0.74,99,N,161,48,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
2,2019-01-12 09:13:27,2019-01-12 09:17:31,1,0.0,99,N,145,145,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,
2,2019-01-12 12:26:40,2019-01-12 12:29:39,2,0.0,99,N,148,148,2,52.0,0.8,0.5,0.0,0.0,0.0,53.3,
2,2019-01-12 15:01:57,2019-01-12 15:12:27,1,1.17,99,N,162,161,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,
2,2019-01-12 15:28:40,2019-01-12 15:35:47,2,1.27,99,N,142,43,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,
2,2019-01-12 16:40:04,2019-01-12 16:43:22,1,0.77,99,N,141,141,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,
2,2019-01-12 16:36:21,2019-01-12 16:53:40,3,2.19,99,N,43,163,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,
2,2019-01-13 08:22:05,2019-01-13 08:40:36,3,3.84,99,N,249,161,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3,
2,2019-01-13 12:42:08,2019-01-13 12:45:53,1,0.72,99,N,263,263,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,
2,2019-01-13 12:03:43,2019-01-13 12:09:05,1,1.03,99,N,48,246,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,
2,2019-01-13 14:58:03,2019-01-13 14:59:26,2,0.37,99,N,237,236,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,
2,2019-01-13 15:48:16,2019-01-13 15:57:05,1,1.11,99,N,114,113,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,
2,2019-01-13 22:04:01,2019-01-13 22:17:13,1,4.13,99,N,142,74,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,
2,2019-01-14 14:08:39,2019-01-14 14:14:44,5,0.0,99,N,265,265,2,3.05,0.0,0.25,0.0,0.0,0.0,3.3,
2,2019-01-14 14:08:39,2019-01-14 14:15:36,5,0.0,99,N,265,265,2,3.2,0.0,0.25,0.0,0.0,0.0,3.45,
2,2019-01-14 14:08:39,2019-01-14 14:16:58,5,0.0,99,N,265,265,2,3.65,0.0,0.25,0.0,0.0,0.0,3.9,
2,2019-01-14 14:08:39,2019-01-14 14:18:27,5,0.0,99,N,265,265,2,4.1,0.0,0.25,0.0,0.0,0.0,4.35,
2,2019-01-14 14:08:39,2019-01-14 14:20:15,5,0.0,99,N,265,265,2,4.55,0.0,0.25,0.0,0.0,0.0,4.8,
2,2019-01-14 16:29:53,2019-01-14 16:31:41,3,0.0,99,N,170,170,2,2.5,1.8,0.5,0.0,0.0,0.0,4.8,
2,2019-01-15 15:30:46,2019-01-15 15:33:03,1,0.0,99,N,264,264,2,1.55,0.0,0.25,0.0,0.0,0.0,1.8,
2,2019-01-15 15:30:46,2019-01-15 15:37:38,1,0.0,99,N,264,193,2,3.2,0.0,0.25,0.0,0.0,0.0,3.45,
2,2019-01-15 15:30:46,2019-01-15 15:39:06,1,0.0,99,N,193,193,2,3.65,0.0,0.25,0.0,0.0,0.0,3.9,
1,2019-01-15 17:21:03,2019-01-15 17:26:42,1,1.1,99,N,142,238,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8,
2,2019-01-15 18:19:09,2019-01-15 18:26:09,6,0.0,99,N,265,265,2,3.5,0.0,0.25,0.0,0.0,0.0,3.75,
2,2019-01-15 18:19:09,2019-01-15 18:29:10,6,0.0,99,N,265,265,2,4.55,0.0,0.25,0.0,0.0,0.0,4.8,
2,2019-01-15 18:19:09,2019-01-15 18:42:36,6,0.0,99,N,265,265,2,8.0,0.0,0.25,0.0,0.0,0.0,8.25,
2,2019-01-15 18:19:09,2019-01-15 18:43:19,6,0.0,99,N,265,265,2,8.15,0.0,0.25,0.0,0.0,0.0,8.4,
2,2019-01-15 18:19:09,2019-01-15 18:43:39,6,0.0,99,N,265,265,2,8.3,0.0,0.25,0.0,0.0,0.0,8.55,
2,2019-01-16 07:46:40,2019-01-16 07:59:21,1,1.33,99,N,75,262,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,
2,2019-01-16 09:58:19,2019-01-16 10:21:51,1,2.88,99,N,143,162,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8,
2,2019-01-16 10:35:11,2019-01-16 10:52:58,1,1.24,99,N,141,162,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3,
2,2019-01-16 13:25:10,2019-01-16 13:47:17,1,2.2,99,N,230,140,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3,
2,2019-01-16 15:31:14,2019-01-21 15:22:08,1,0.0,99,N,265,265,2,1079.15,0.0,0.25,0.0,0.0,0.0,1079.4,
2,2019-01-16 17:16:57,2019-01-16 17:28:44,1,1.68,99,N,237,263,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8,
2,2019-01-17 07:44:42,2019-01-17 08:14:30,1,2.78,99,N,142,140,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8,
2,2019-01-17 07:17:24,2019-01-17 07:29:49,1,1.52,99,N,68,100,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,
2,2019-01-17 17:04:56,2019-01-17 17:30:51,1,4.87,99,N,231,50,2,19.5,1.0,0.5,0.0,0.0,0.3,21.3,
2,2019-01-17 22:04:39,2019-01-17 22:09:24,1,0.66,99,N,170,140,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,
2,2019-01-18 21:06:05,2019-01-18 21:11:54,1,0.97,99,N,161,164,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,
2,2019-01-19 01:20:47,2019-01-19 01:50:34,1,4.81,99,N,231,163,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8,
2,2019-01-19 09:48:11,2019-01-19 09:52:06,1,0.0,99,N,145,145,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,
2,2019-01-19 13:04:31,2019-01-19 13:12:07,1,1.18,99,N,141,237,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,
2,2019-01-19 13:28:45,2019-01-19 13:48:24,1,3.84,99,N,239,68,2,16.5,0.0,0.5,0.0,0.0,0.3,17.3,
2,2019-01-19 14:40:35,2019-01-19 14:40:40,1,0.0,99,N,132,132,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,
2,2019-01-19 20:33:11,2019-01-19 20:46:51,3,2.36,99,N,68,230,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,
2,2019-01-20 12:16:35,2019-01-20 12:19:31,2,1.27,99,N,246,50,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,
2,2019-01-20 12:26:31,2019-01-20 12:47:13,1,4.78,99,N,79,142,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8,
2,2019-01-21 04:21:32,2019-01-21 04:28:06,1,0.0,99,N,193,193,2,2.5,1.3,0.5,0.0,0.0,0.0,4.3,0.0
2,2019-01-21 04:28:26,2019-01-21 04:49:01,1,0.0,99,N,265,7,2,2.5,1.3,0.5,0.0,0.0,0.0,4.3,0.0
2,2019-01-21 06:35:07,2019-01-21 06:53:22,1,1.98,99,N,48,100,2,14.0,0.0,0.5,0.0,0.0,0.3,14.8,0.0
2,2019-01-21 10:11:28,2019-01-21 10:16:57,1,0.0,99,N,229,229,2,52.0,0.8,0.5,0.0,5.76,0.0,59.06,0.0
2,2019-01-21 12:19:50,2019-01-21 12:31:52,1,2.9,99,N,162,141,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8,0.0
2,2019-01-21 16:43:22,2019-01-21 16:47:46,1,0.0,99,N,170,170,2,52.0,5.3,0.5,0.0,5.76,0.0,63.56,0.0
2,2019-01-22 08:34:32,2019-01-22 08:42:56,1,0.94,99,N,263,262,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0.0
2,2019-01-22 08:44:27,2019-01-22 08:46:19,1,0.15,99,N,43,43,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,0.0
2,2019-01-22 11:52:25,2019-01-22 12:24:12,1,0.0,99,N,193,193,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-22 17:12:18,2019-01-22 17:42:09,1,0.0,99,N,264,260,2,2.5,1.8,0.5,0.0,0.0,0.0,4.8,0.0
2,2019-01-23 10:40:56,2019-01-23 11:00:44,1,0.0,99,N,193,193,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-24 00:31:28,2019-01-24 05:51:30,1,0.0,99,N,228,145,2,2.5,1.3,0.5,0.0,0.0,0.0,4.3,0.0
2,2019-01-24 08:20:26,2019-01-24 08:31:59,1,1.27,99,N,107,170,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,0.0
2,2019-01-25 10:36:19,2019-01-25 11:01:33,1,2.3,99,N,170,148,2,12.5,0.8,0.5,2.0,0.0,0.0,15.8,0.0
2,2019-01-25 15:10:01,2019-01-25 15:15:22,3,0.61,99,N,230,48,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
2,2019-01-25 16:38:40,2019-01-25 16:42:17,1,0.54,99,N,237,141,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3,0.0
2,2019-01-25 16:24:38,2019-01-25 16:46:42,1,2.75,99,N,43,100,2,15.0,1.0,0.5,0.0,0.0,0.3,16.8,0.0
2,2019-01-25 19:12:48,2019-01-25 19:30:06,2,2.52,99,N,249,161,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3,0.0
2,2019-01-26 01:00:18,2019-01-26 01:32:40,1,8.17,99,N,79,129,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,0.0
2,2019-01-26 04:58:15,2019-01-26 05:02:03,1,0.0,99,N,145,145,2,2.5,1.3,0.5,0.0,0.0,0.0,4.3,0.0
2,2019-01-26 09:09:01,2019-01-26 09:20:30,1,2.39,99,N,239,48,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0.0
2,2019-01-26 14:40:15,2019-01-26 14:52:21,1,1.91,99,N,239,43,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,0.0
2,2019-01-26 15:28:39,2019-01-26 15:32:02,1,0.33,99,N,162,163,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,0.0
2,2019-01-26 17:35:24,2019-01-26 17:46:08,2,0.94,99,N,162,100,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,0.0
1,2019-01-26 18:13:55,2019-01-26 18:40:46,1,5.7,99,N,151,137,1,21.0,0.0,0.5,3.27,0.0,0.3,25.07,0.0
2,2019-01-28 08:29:59,2019-01-28 08:35:10,1,0.71,99,N,239,142,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0
2,2019-01-28 14:39:52,2019-01-28 14:45:21,1,0.81,99,N,262,141,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0.0
2,2019-01-29 07:27:18,2019-01-29 07:32:11,1,1.18,99,N,244,152,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,0.0
2,2019-01-29 17:31:12,2019-01-29 17:36:38,1,1.06,99,N,114,234,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3,0.0
1,2019-01-30 07:25:10,2019-01-30 07:33:13,1,1.5,99,N,264,264,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,0.0
2,2019-01-30 10:15:53,2019-01-30 10:19:45,1,0.84,99,N,239,236,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0.0
1,2019-01-30 10:10:57,2019-01-30 10:15:33,1,0.5,99,N,264,264,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0.0
2,2019-01-30 18:16:22,2019-01-30 18:17:03,2,0.07,99,N,239,239,2,52.0,4.5,0.5,0.0,0.0,0.3,57.3,0.0
2,2019-01-30 21:56:18,2019-01-30 21:59:56,1,0.4,99,N,230,230,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,0.0
2,2019-01-31 07:03:11,2019-01-31 07:04:09,1,0.13,99,N,52,52,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8,0.0
2,2019-01-31 07:08:19,2019-01-31 07:11:05,1,0.0,99,N,33,33,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 09:15:48,2019-01-31 09:22:15,1,0.0,99,N,138,138,2,4.0,0.8,0.5,0.0,0.0,0.0,5.3,0.0
2,2019-01-31 09:15:34,2019-01-31 09:22:02,1,0.84,99,N,239,143,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,0.0
2,2019-01-31 09:49:46,2019-01-31 09:53:41,1,0.0,99,N,25,25,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 09:55:32,2019-01-31 10:05:52,1,0.0,99,N,25,25,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 10:23:31,2019-01-31 10:26:59,1,0.0,99,N,231,231,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 10:29:12,2019-01-31 10:32:51,1,0.0,99,N,231,231,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 11:18:35,2019-01-31 11:22:54,1,0.0,99,N,193,193,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 12:18:59,2019-01-31 13:24:08,1,0.0,99,N,141,141,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,0.0
2,2019-01-31 16:10:02,2019-01-31 16:54:11,1,14.16,99,N,138,87,2,43.5,0.0,0.5,0.0,5.76,0.3,50.06,0.0
2,2019-01-31 18:24:21,2019-01-31 18:36:35,1,1.56,99,N,236,162,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3,0.0
